LEVEL,DATE
27.31,15/05/2000
27.36,16/05/2000
27.40,17/05/2000
27.43,18/05/2000
27.48,19/05/2000
27.55,20/05/2000
27.61,21/05/2000
27.67,22/05/2000
27.74,23/05/2000
27.78,24/05/2000
27.84,25/05/2000
27.87,26/05/2000
27.91,27/05/2000
27.94,28/05/2000
27.97,29/05/2000
28.01,30/05/2000
28.05,31/05/2000
28.10,01/06/2000
28.14,02/06/2000
28.18,03/06/2000
28.22,04/06/2000
28.25,05/06/2000
28.27,06/06/2000
28.29,07/06/2000
28.32,08/06/2000
28.34,09/06/2000
28.36,10/06/2000
28.38,11/06/2000
28.39,12/06/2000
28.41,13/06/2000
28.41,14/06/2000
28.41,15/06/2000
28.44,16/06/2000
28.47,17/06/2000
28.50,18/06/2000
28.52,19/06/2000
28.55,20/06/2000
28.57,21/06/2000
28.58,22/06/2000
28.59,23/06/2000
28.60,24/06/2000
28.61,25/06/2000
28.62,26/06/2000
28.62,27/06/2000
28.62,28/06/2000
28.62,29/06/2000
28.61,30/06/2000
28.61,01/07/2000
28.60,02/07/2000
28.59,03/07/2000
28.59,04/07/2000
28.59,05/07/2000
28.58,06/07/2000
28.58,07/07/2000
28.57,08/07/2000
28.56,09/07/2000
28.55,10/07/2000
28.54,11/07/2000
28.54,12/07/2000
28.53,13/07/2000
28.53,14/07/2000
28.51,15/07/2000
28.49,16/07/2000
28.46,17/07/2000
28.44,18/07/2000
28.41,19/07/2000
28.39,20/07/2000
28.37,21/07/2000
28.35,22/07/2000
28.32,23/07/2000
28.29,24/07/2000
28.27,25/07/2000
28.25,26/07/2000
28.22,27/07/2000
28.19,28/07/2000
28.16,29/07/2000
28.13,30/07/2000
28.09,31/07/2000
28.06,01/08/2000
28.02,02/08/2000
27.97,03/08/2000
27.94,04/08/2000
27.90,05/08/2000
27.85,06/08/2000
27.80,07/08/2000
27.76,08/08/2000
27.73,09/08/2000
27.69,10/08/2000
27.63,11/08/2000
27.58,12/08/2000
27.53,13/08/2000
27.47,14/08/2000
27.42,15/08/2000
27.37,16/08/2000
27.33,17/08/2000
27.29,18/08/2000
27.24,19/08/2000
27.19,20/08/2000
27.13,21/08/2000
27.07,22/08/2000
27.02,23/08/2000
26.97,24/08/2000
26.91,25/08/2000
26.85,26/08/2000
26.78,27/08/2000
26.71,28/08/2000
26.65,29/08/2000
26.57,30/08/2000
26.50,31/08/2000
26.42,01/09/2000
26.34,02/09/2000
26.25,03/09/2000
26.16,04/09/2000
26.06,05/09/2000
25.99,06/09/2000
25.89,07/09/2000
25.79,08/09/2000
25.69,09/09/2000
25.58,10/09/2000
25.46,11/09/2000
25.35,12/09/2000
25.25,13/09/2000
25.13,14/09/2000
25.03,15/09/2000
24.92,16/09/2000
24.80,17/09/2000
24.67,18/09/2000
24.52,19/09/2000
24.41,20/09/2000
24.27,21/09/2000
24.14,22/09/2000
24.00,23/09/2000
23.86,24/09/2000
23.71,25/09/2000
23.56,26/09/2000
23.39,27/09/2000
23.28,28/09/2000
23.16,29/09/2000
23.03,30/09/2000
22.89,01/10/2000
22.75,02/10/2000
22.62,03/10/2000
22.47,04/10/2000
22.36,05/10/2000
22.23,06/10/2000
22.11,07/10/2000
22.00,08/10/2000
21.89,09/10/2000
21.77,10/10/2000
21.66,11/10/2000
21.58,12/10/2000
21.51,13/10/2000
21.46,14/10/2000
21.42,15/10/2000
21.38,16/10/2000
21.35,17/10/2000
21.31,18/10/2000
21.26,19/10/2000
21.21,20/10/2000
21.13,21/10/2000
21.05,22/10/2000
20.98,23/10/2000
20.95,24/10/2000
20.92,25/10/2000
20.87,26/10/2000
20.83,27/10/2000
20.76,28/10/2000
20.69,29/10/2000
20.63,30/10/2000
20.57,31/10/2000
20.47,01/11/2000
20.39,02/11/2000
20.31,03/11/2000
20.24,04/11/2000
20.18,05/11/2000
20.13,06/11/2000
20.07,07/11/2000
20.03,08/11/2000
20.00,09/11/2000
19.97,10/11/2000
19.92,11/11/2000
19.88,12/11/2000
19.84,13/11/2000
19.81,14/11/2000
19.80,15/11/2000
19.79,16/11/2000
19.77,17/11/2000
19.74,18/11/2000
19.72,19/11/2000
19.70,20/11/2000
19.68,21/11/2000
19.66,22/11/2000
19.65,23/11/2000
19.64,24/11/2000
19.58,25/11/2000
19.52,26/11/2000
19.47,27/11/2000
19.41,28/11/2000
19.33,29/11/2000
19.23,30/11/2000
19.13,01/12/2000
19.02,02/12/2000
18.92,03/12/2000
18.82,04/12/2000
18.76,05/12/2000
18.69,06/12/2000
18.64,07/12/2000
18.61,08/12/2000
18.59,09/12/2000
18.58,10/12/2000
18.57,11/12/2000
18.57,12/12/2000
18.59,13/12/2000
18.62,14/12/2000
18.66,15/12/2000
18.70,16/12/2000
18.75,17/12/2000
18.80,18/12/2000
18.87,19/12/2000
18.96,20/12/2000
19.07,21/12/2000
19.19,22/12/2000
19.30,23/12/2000
19.41,24/12/2000
19.53,25/12/2000
19.66,26/12/2000
19.77,27/12/2000
19.86,28/12/2000
19.91,29/12/2000
19.94,30/12/2000
19.97,31/12/2000
19.99,01/01/2001
20.01,02/01/2001
20.01,03/01/2001
19.98,04/01/2001
19.96,05/01/2001
19.94,06/01/2001
19.92,07/01/2001
19.91,08/01/2001
19.91,09/01/2001
19.95,10/01/2001
19.97,11/01/2001
20.01,12/01/2001
20.07,13/01/2001
20.13,14/01/2001
20.20,15/01/2001
20.29,16/01/2001
20.41,17/01/2001
20.52,18/01/2001
20.66,19/01/2001
20.80,20/01/2001
20.94,21/01/2001
21.09,22/01/2001
21.22,23/01/2001
21.31,24/01/2001
21.41,25/01/2001
21.57,26/01/2001
21.68,27/01/2001
21.79,28/01/2001
21.89,29/01/2001
21.98,30/01/2001
22.09,31/01/2001
22.19,01/02/2001
22.31,02/02/2001
22.42,03/02/2001
22.52,04/02/2001
22.61,05/02/2001
22.71,06/02/2001
22.81,07/02/2001
22.92,08/02/2001
23.01,09/02/2001
23.10,10/02/2001
23.19,11/02/2001
23.27,12/02/2001
23.35,13/02/2001
23.45,14/02/2001
23.53,15/02/2001
23.60,16/02/2001
23.67,17/02/2001
23.73,18/02/2001
23.79,19/02/2001
23.84,20/02/2001
23.89,21/02/2001
23.93,22/02/2001
23.97,23/02/2001
24.03,24/02/2001
24.09,25/02/2001
24.14,26/02/2001
24.19,27/02/2001
24.23,28/02/2001
24.30,01/03/2001
24.36,02/03/2001
24.42,03/03/2001
24.48,04/03/2001
24.55,05/03/2001
24.60,06/03/2001
24.65,07/03/2001
24.71,08/03/2001
24.76,09/03/2001
24.81,10/03/2001
24.86,11/03/2001
24.90,12/03/2001
24.94,13/03/2001
24.98,14/03/2001
25.03,15/03/2001
25.07,16/03/2001
25.10,17/03/2001
25.13,18/03/2001
25.17,19/03/2001
25.19,20/03/2001
25.22,21/03/2001
25.26,22/03/2001
25.31,23/03/2001
25.35,24/03/2001
25.39,25/03/2001
25.42,26/03/2001
25.47,27/03/2001
25.53,28/03/2001
25.60,29/03/2001
25.66,30/03/2001
25.71,31/03/2001
25.76,01/04/2001
25.80,02/04/2001
25.86,03/04/2001
25.92,04/04/2001
25.98,05/04/2001
26.03,06/04/2001
26.09,07/04/2001
26.15,08/04/2001
26.22,09/04/2001
26.28,10/04/2001
26.33,11/04/2001
26.38,12/04/2001
26.43,13/04/2001
26.49,14/04/2001
26.55,15/04/2001
26.62,16/04/2001
26.67,17/04/2001
26.73,18/04/2001
26.80,19/04/2001
26.85,20/04/2001
26.89,21/04/2001
26.93,22/04/2001
26.96,23/04/2001
26.99,24/04/2001
27.03,25/04/2001
27.06,26/04/2001
27.10,27/04/2001
27.15,28/04/2001
27.19,29/04/2001
27.23,30/04/2001
27.26,01/05/2001
27.29,02/05/2001
27.31,03/05/2001
27.31,04/05/2001
27.31,05/05/2001
27.32,06/05/2001
27.34,07/05/2001
27.36,08/05/2001
27.36,09/05/2001
27.37,10/05/2001
27.39,11/05/2001
27.40,12/05/2001
27.42,13/05/2001
27.44,14/05/2001
27.47,15/05/2001
27.49,16/05/2001
27.52,17/05/2001
27.52,18/05/2001
27.54,19/05/2001
27.56,20/05/2001
27.59,21/05/2001
27.61,22/05/2001
27.65,23/05/2001
27.70,24/05/2001
27.73,25/05/2001
27.75,26/05/2001
27.78,27/05/2001
27.81,28/05/2001
27.84,29/05/2001
27.86,30/05/2001
27.87,31/05/2001
27.87,01/06/2001
27.89,02/06/2001
27.92,03/06/2001
27.95,04/06/2001
27.97,05/06/2001
28.00,06/06/2001
28.01,07/06/2001
28.02,08/06/2001
28.03,09/06/2001
28.05,10/06/2001
28.07,11/06/2001
28.11,12/06/2001
28.13,13/06/2001
28.15,14/06/2001
28.17,15/06/2001
28.18,16/06/2001
28.19,17/06/2001
28.20,18/06/2001
28.21,19/06/2001
28.21,20/06/2001
28.21,21/06/2001
28.21,22/06/2001
28.21,23/06/2001
28.20,24/06/2001
28.19,25/06/2001
28.18,26/06/2001
28.18,27/06/2001
28.18,28/06/2001
28.18,29/06/2001
28.18,30/06/2001
28.18,01/07/2001
28.17,02/07/2001
28.15,03/07/2001
28.13,04/07/2001
28.10,05/07/2001
28.07,06/07/2001
28.05,07/07/2001
28.03,08/07/2001
28.00,09/07/2001
27.97,10/07/2001
27.94,11/07/2001
27.91,12/07/2001
27.87,13/07/2001
27.84,14/07/2001
27.81,15/07/2001
27.77,16/07/2001
27.72,17/07/2001
27.69,18/07/2001
27.64,19/07/2001
27.60,20/07/2001
27.56,21/07/2001
27.52,22/07/2001
27.47,23/07/2001
27.41,24/07/2001
27.37,25/07/2001
27.33,26/07/2001
27.28,27/07/2001
27.25,28/07/2001
27.21,29/07/2001
27.17,30/07/2001
27.12,31/07/2001
27.07,01/08/2001
27.02,02/08/2001
26.98,03/08/2001
26.92,04/08/2001
26.86,05/08/2001
26.79,06/08/2001
26.73,07/08/2001
26.65,08/08/2001
26.59,09/08/2001
26.51,10/08/2001
26.46,11/08/2001
26.40,12/08/2001
26.34,13/08/2001
26.27,14/08/2001
26.19,15/08/2001
26.12,16/08/2001
26.05,17/08/2001
25.98,18/08/2001
25.90,19/08/2001
25.82,20/08/2001
25.73,21/08/2001
25.65,22/08/2001
25.57,23/08/2001
25.48,24/08/2001
25.40,25/08/2001
25.31,26/08/2001
25.22,27/08/2001
25.12,28/08/2001
25.02,29/08/2001
24.92,30/08/2001
24.79,31/08/2001
24.69,01/09/2001
24.57,02/09/2001
24.44,03/09/2001
24.31,04/09/2001
24.16,05/09/2001
24.00,06/09/2001
23.86,07/09/2001
23.72,08/09/2001
23.57,09/09/2001
23.41,10/09/2001
23.26,11/09/2001
23.10,12/09/2001
22.92,13/09/2001
22.74,14/09/2001
22.56,15/09/2001
22.38,16/09/2001
22.19,17/09/2001
22.05,18/09/2001
21.93,19/09/2001
21.77,20/09/2001
21.69,21/09/2001
21.59,22/09/2001
21.49,23/09/2001
21.38,24/09/2001
21.23,25/09/2001
21.11,26/09/2001
21.03,27/09/2001
20.91,28/09/2001
20.79,29/09/2001
20.67,30/09/2001
20.54,01/10/2001
20.45,02/10/2001
20.35,03/10/2001
20.24,04/10/2001
20.14,05/10/2001
20.02,06/10/2001
19.90,07/10/2001
19.77,08/10/2001
19.65,09/10/2001
19.51,10/10/2001
19.37,11/10/2001
19.24,12/10/2001
19.11,13/10/2001
18.97,14/10/2001
18.82,15/10/2001
18.67,16/10/2001
18.56,17/10/2001
18.39,18/10/2001
18.25,19/10/2001
18.11,20/10/2001
17.95,21/10/2001
17.79,22/10/2001
17.62,23/10/2001
17.47,24/10/2001
17.33,25/10/2001
17.20,26/10/2001
17.09,27/10/2001
16.99,28/10/2001
16.89,29/10/2001
16.83,30/10/2001
16.81,31/10/2001
16.85,01/11/2001
16.85,02/11/2001
16.86,03/11/2001
16.87,04/11/2001
16.88,05/11/2001
16.91,06/11/2001
16.96,07/11/2001
17.02,08/11/2001
17.06,09/11/2001
17.11,10/11/2001
17.17,11/11/2001
17.23,12/11/2001
17.31,13/11/2001
17.38,14/11/2001
17.44,15/11/2001
17.50,16/11/2001
17.55,17/11/2001
17.61,18/11/2001
17.67,19/11/2001
17.72,20/11/2001
17.75,21/11/2001
17.78,22/11/2001
17.79,23/11/2001
17.80,24/11/2001
17.80,25/11/2001
17.80,26/11/2001
17.81,27/11/2001
17.81,28/11/2001
17.79,29/11/2001
17.76,30/11/2001
17.74,01/12/2001
17.72,02/12/2001
17.71,03/12/2001
17.69,04/12/2001
17.68,05/12/2001
17.70,06/12/2001
17.71,07/12/2001
17.74,08/12/2001
17.77,09/12/2001
17.81,10/12/2001
17.86,11/12/2001
17.94,12/12/2001
18.04,13/12/2001
18.13,14/12/2001
18.25,15/12/2001
18.37,16/12/2001
18.50,17/12/2001
18.64,18/12/2001
18.79,19/12/2001
18.95,20/12/2001
19.08,21/12/2001
19.26,22/12/2001
19.44,23/12/2001
19.63,24/12/2001
19.73,25/12/2001
19.84,26/12/2001
19.96,27/12/2001
20.09,28/12/2001
20.24,29/12/2001
20.39,30/12/2001
20.55,31/12/2001
20.68,01/01/2002
20.82,02/01/2002
20.96,03/01/2002
21.15,04/01/2002
21.27,05/01/2002
21.39,06/01/2002
21.52,07/01/2002
21.65,08/01/2002
21.76,09/01/2002
21.87,10/01/2002
21.96,11/01/2002
22.05,12/01/2002
22.14,13/01/2002
22.22,14/01/2002
22.29,15/01/2002
22.37,16/01/2002
22.41,17/01/2002
22.44,18/01/2002
22.47,19/01/2002
22.50,20/01/2002
22.52,21/01/2002
22.56,22/01/2002
22.57,23/01/2002
22.58,24/01/2002
22.56,25/01/2002
22.54,26/01/2002
22.52,27/01/2002
22.49,28/01/2002
22.45,29/01/2002
22.43,30/01/2002
22.40,31/01/2002
22.37,01/02/2002
22.35,02/02/2002
22.33,03/02/2002
22.32,04/02/2002
22.29,05/02/2002
22.28,06/02/2002
22.28,07/02/2002
22.31,08/02/2002
22.34,09/02/2002
22.37,10/02/2002
22.40,11/02/2002
22.44,12/02/2002
22.49,13/02/2002
22.52,14/02/2002
22.56,15/02/2002
22.62,16/02/2002
22.69,17/02/2002
22.76,18/02/2002
22.91,19/02/2002
22.99,20/02/2002
23.10,21/02/2002
23.18,22/02/2002
23.24,23/02/2002
23.30,24/02/2002
23.37,25/02/2002
23.42,26/02/2002
23.47,27/02/2002
23.51,28/02/2002
23.56,01/03/2002
23.60,02/03/2002
23.65,03/03/2002
23.70,04/03/2002
23.75,05/03/2002
23.81,06/03/2002
23.87,07/03/2002
23.91,08/03/2002
23.95,09/03/2002
24.00,10/03/2002
24.05,11/03/2002
24.12,12/03/2002
24.19,13/03/2002
24.25,14/03/2002
24.32,15/03/2002
24.37,16/03/2002
24.42,17/03/2002
24.48,18/03/2002
24.52,19/03/2002
24.58,20/03/2002
24.66,21/03/2002
24.75,22/03/2002
24.80,23/03/2002
24.86,24/03/2002
24.92,25/03/2002
24.96,26/03/2002
25.00,27/03/2002
25.03,28/03/2002
25.07,29/03/2002
25.11,30/03/2002
25.16,31/03/2002
25.22,01/04/2002
25.28,02/04/2002
25.33,03/04/2002
25.39,04/04/2002
25.45,05/04/2002
25.52,06/04/2002
25.59,07/04/2002
25.67,08/04/2002
25.73,09/04/2002
25.81,10/04/2002
25.88,11/04/2002
25.93,12/04/2002
25.98,13/04/2002
26.04,14/04/2002
26.11,15/04/2002
26.16,16/04/2002
26.21,17/04/2002
26.26,18/04/2002
26.32,19/04/2002
26.37,20/04/2002
26.43,21/04/2002
26.49,22/04/2002
26.55,23/04/2002
26.62,24/04/2002
26.68,25/04/2002
26.79,26/04/2002
26.84,27/04/2002
26.88,28/04/2002
26.92,29/04/2002
26.95,30/04/2002
26.99,01/05/2002
27.02,02/05/2002
27.06,03/05/2002
27.11,04/05/2002
27.16,05/05/2002
27.20,06/05/2002
27.23,07/05/2002
27.26,08/05/2002
27.31,09/05/2002
27.37,10/05/2002
27.41,11/05/2002
27.45,12/05/2002
27.50,13/05/2002
27.53,14/05/2002
27.55,15/05/2002
27.59,16/05/2002
27.63,17/05/2002
27.67,18/05/2002
27.72,19/05/2002
27.77,20/05/2002
27.81,21/05/2002
27.86,22/05/2002
27.89,23/05/2002
27.93,24/05/2002
27.97,25/05/2002
28.02,26/05/2002
28.07,27/05/2002
28.11,28/05/2002
28.14,29/05/2002
28.17,30/05/2002
28.21,31/05/2002
28.26,01/06/2002
28.31,02/06/2002
28.37,03/06/2002
28.40,04/06/2002
28.43,05/06/2002
28.46,06/06/2002
28.51,07/06/2002
28.56,08/06/2002
28.61,09/06/2002
28.65,10/06/2002
28.67,11/06/2002
28.69,12/06/2002
28.70,13/06/2002
28.72,14/06/2002
28.76,15/06/2002
28.79,16/06/2002
28.82,17/06/2002
28.83,18/06/2002
28.84,19/06/2002
28.85,20/06/2002
28.86,21/06/2002
28.87,22/06/2002
28.87,23/06/2002
28.87,24/06/2002
28.87,25/06/2002
28.89,26/06/2002
28.91,27/06/2002
28.91,28/06/2002
28.91,29/06/2002
28.91,30/06/2002
28.90,01/07/2002
28.89,02/07/2002
28.88,03/07/2002
28.88,04/07/2002
28.87,05/07/2002
28.86,06/07/2002
28.85,07/07/2002
28.84,08/07/2002
28.82,09/07/2002
28.80,10/07/2002
28.79,11/07/2002
28.78,12/07/2002
28.77,13/07/2002
28.76,14/07/2002
28.74,15/07/2002
28.71,16/07/2002
28.69,17/07/2002
28.68,18/07/2002
28.67,19/07/2002
28.66,20/07/2002
28.64,21/07/2002
28.62,22/07/2002
28.58,23/07/2002
28.55,24/07/2002
28.51,25/07/2002
28.48,26/07/2002
28.45,27/07/2002
28.42,28/07/2002
28.38,29/07/2002
28.35,30/07/2002
28.30,31/07/2002
28.25,01/08/2002
28.21,02/08/2002
28.17,03/08/2002
28.12,04/08/2002
28.07,05/08/2002
28.01,06/08/2002
27.96,07/08/2002
27.90,08/08/2002
27.83,09/08/2002
27.77,10/08/2002
27.71,11/08/2002
27.64,12/08/2002
27.59,13/08/2002
27.53,14/08/2002
27.49,15/08/2002
27.41,16/08/2002
27.35,17/08/2002
27.28,18/08/2002
27.21,19/08/2002
27.16,20/08/2002
27.10,21/08/2002
27.03,22/08/2002
26.97,23/08/2002
26.91,24/08/2002
26.84,25/08/2002
26.77,26/08/2002
26.68,27/08/2002
26.60,28/08/2002
26.51,29/08/2002
26.41,30/08/2002
26.34,31/08/2002
26.27,01/09/2002
26.19,02/09/2002
26.11,03/09/2002
26.01,04/09/2002
25.93,05/09/2002
25.84,06/09/2002
25.75,07/09/2002
25.66,08/09/2002
25.56,09/09/2002
25.46,10/09/2002
25.38,11/09/2002
25.29,12/09/2002
25.19,13/09/2002
25.09,14/09/2002
24.98,15/09/2002
24.87,16/09/2002
24.76,17/09/2002
24.65,18/09/2002
24.52,19/09/2002
24.40,20/09/2002
24.27,21/09/2002
24.13,22/09/2002
23.99,23/09/2002
23.85,24/09/2002
23.72,25/09/2002
23.60,26/09/2002
23.42,27/09/2002
23.25,28/09/2002
23.08,29/09/2002
22.92,30/09/2002
22.73,01/10/2002
22.57,02/10/2002
22.39,03/10/2002
22.19,04/10/2002
21.99,05/10/2002
21.78,06/10/2002
21.56,07/10/2002
21.35,08/10/2002
21.11,09/10/2002
20.91,10/10/2002
20.68,11/10/2002
20.45,12/10/2002
20.22,13/10/2002
20.00,14/10/2002
19.81,15/10/2002
19.60,16/10/2002
19.35,17/10/2002
19.13,18/10/2002
18.90,19/10/2002
18.66,20/10/2002
18.41,21/10/2002
18.32,22/10/2002
18.14,23/10/2002
17.99,24/10/2002
17.84,25/10/2002
17.69,26/10/2002
17.55,27/10/2002
17.42,28/10/2002
17.32,29/10/2002
17.23,30/10/2002
17.19,31/10/2002
17.19,01/11/2002
17.25,02/11/2002
17.31,03/11/2002
17.38,04/11/2002
17.49,05/11/2002
17.62,06/11/2002
17.74,07/11/2002
17.89,08/11/2002
18.02,09/11/2002
18.14,10/11/2002
18.24,11/11/2002
18.34,12/11/2002
18.43,13/11/2002
18.51,14/11/2002
18.61,15/11/2002
18.72,16/11/2002
18.83,17/11/2002
18.95,18/11/2002
19.06,19/11/2002
19.19,20/11/2002
19.30,21/11/2002
19.39,22/11/2002
19.49,23/11/2002
19.59,24/11/2002
19.68,25/11/2002
19.78,26/11/2002
19.86,27/11/2002
19.92,28/11/2002
20.00,29/11/2002
20.07,30/11/2002
20.14,01/12/2002
20.20,02/12/2002
20.23,03/12/2002
20.26,04/12/2002
20.27,05/12/2002
20.31,06/12/2002
20.34,07/12/2002
20.38,08/12/2002
20.42,09/12/2002
20.45,10/12/2002
20.50,11/12/2002
20.55,12/12/2002
20.58,13/12/2002
20.61,14/12/2002
20.65,15/12/2002
20.69,16/12/2002
20.76,17/12/2002
20.82,18/12/2002
20.94,19/12/2002
21.07,20/12/2002
21.17,21/12/2002
21.28,22/12/2002
21.39,23/12/2002
21.45,24/12/2002
21.49,25/12/2002
21.52,26/12/2002
21.54,27/12/2002
21.57,28/12/2002
21.61,29/12/2002
21.65,30/12/2002
21.70,31/12/2002
21.75,01/01/2003
21.81,02/01/2003
21.87,03/01/2003
21.92,04/01/2003
21.98,05/01/2003
22.04,06/01/2003
22.08,07/01/2003
22.11,08/01/2003
22.16,09/01/2003
22.19,10/01/2003
22.21,11/01/2003
22.24,12/01/2003
22.27,13/01/2003
22.28,14/01/2003
22.28,15/01/2003
22.28,16/01/2003
22.27,17/01/2003
22.25,18/01/2003
22.23,19/01/2003
22.20,20/01/2003
22.18,21/01/2003
22.15,22/01/2003
22.14,23/01/2003
22.12,24/01/2003
22.11,25/01/2003
22.11,26/01/2003
22.11,27/01/2003
22.12,28/01/2003
22.12,29/01/2003
22.12,30/01/2003
22.13,31/01/2003
22.14,01/02/2003
22.14,02/02/2003
22.14,03/02/2003
22.16,04/02/2003
22.18,05/02/2003
22.19,06/02/2003
22.19,07/02/2003
22.20,08/02/2003
22.21,09/02/2003
22.22,10/02/2003
22.24,11/02/2003
22.25,12/02/2003
22.25,13/02/2003
22.26,14/02/2003
22.27,15/02/2003
22.28,16/02/2003
22.29,17/02/2003
22.31,18/02/2003
22.33,19/02/2003
22.36,20/02/2003
22.38,21/02/2003
22.40,22/02/2003
22.43,23/02/2003
22.46,24/02/2003
22.49,25/02/2003
22.54,26/02/2003
22.57,27/02/2003
22.59,28/02/2003
22.62,01/03/2003
22.65,02/03/2003
22.69,03/03/2003
22.71,04/03/2003
22.74,05/03/2003
22.77,06/03/2003
22.82,07/03/2003
22.85,08/03/2003
22.89,09/03/2003
22.94,10/03/2003
22.98,11/03/2003
23.03,12/03/2003
23.07,13/03/2003
23.11,14/03/2003
23.14,15/03/2003
23.17,16/03/2003
23.21,17/03/2003
23.25,18/03/2003
23.29,19/03/2003
23.34,20/03/2003
23.41,21/03/2003
23.45,22/03/2003
23.49,23/03/2003
23.54,24/03/2003
23.60,25/03/2003
23.64,26/03/2003
23.70,27/03/2003
23.75,28/03/2003
23.81,29/03/2003
23.87,30/03/2003
23.94,31/03/2003
24.00,01/04/2003
24.08,02/04/2003
24.13,03/04/2003
24.19,04/04/2003
24.27,05/04/2003
24.35,06/04/2003
24.44,07/04/2003
24.49,08/04/2003
24.55,09/04/2003
24.59,10/04/2003
24.63,11/04/2003
24.70,12/04/2003
24.77,13/04/2003
24.85,14/04/2003
24.96,15/04/2003
25.05,16/04/2003
25.10,17/04/2003
25.15,18/04/2003
25.20,19/04/2003
25.26,20/04/2003
25.32,21/04/2003
25.39,22/04/2003
25.45,23/04/2003
25.51,24/04/2003
25.61,25/04/2003
25.67,26/04/2003
25.73,27/04/2003
25.80,28/04/2003
25.85,29/04/2003
25.92,30/04/2003
25.98,01/05/2003
26.05,02/05/2003
26.11,03/05/2003
26.17,04/05/2003
26.24,05/05/2003
26.29,06/05/2003
26.36,07/05/2003
26.43,08/05/2003
26.51,09/05/2003
26.56,10/05/2003
26.61,11/05/2003
26.67,12/05/2003
26.71,13/05/2003
26.81,14/05/2003
26.85,15/05/2003
26.90,16/05/2003
26.95,17/05/2003
27.00,18/05/2003
27.06,19/05/2003
27.11,20/05/2003
27.18,21/05/2003
27.22,22/05/2003
27.25,23/05/2003
27.30,24/05/2003
27.36,25/05/2003
27.42,26/05/2003
27.49,27/05/2003
27.55,28/05/2003
27.58,29/05/2003
27.60,30/05/2003
27.64,31/05/2003
27.68,01/06/2003
27.73,02/06/2003
27.76,03/06/2003
27.79,04/06/2003
27.84,05/06/2003
27.89,06/06/2003
27.92,07/06/2003
27.95,08/06/2003
27.97,09/06/2003
28.01,10/06/2003
28.01,11/06/2003
28.04,12/06/2003
28.07,13/06/2003
28.10,14/06/2003
28.12,15/06/2003
28.14,16/06/2003
28.18,17/06/2003
28.19,18/06/2003
28.20,19/06/2003
28.21,20/06/2003
28.22,21/06/2003
28.23,22/06/2003
28.24,23/06/2003
